Amateurs,Barthelme Donald
"Come Back, Dr. Caligari",Barthelme Donald
Alamut,Bartol Vladimir
The Garden of the Finzi-Continis,Bassani Giorgio
Blue of Noon,Bataille Georges
Story of the Eye,Bataille Georges
The Abbot C,Bataille Georges
The Manors of Ulloa,Bazan Emilia Pardo
The Mandarins,Beauvoir Simone de
Jacob the Liar,Becker Jurek
Malone Dies,Beckett Samuel
Molloy,Beckett Samuel
Murphy,Beckett Samuel
How It Is,Beckett Samuel
Mercier and Camier,Beckett Samuel
The Unnamable,Beckett Samuel
Watt,Beckett Samuel
Worstward Ho,Beckett Samuel
Vathek,Beckford William Thomas
Uncle Tom’s Cabin,Beecher Stowe Harriet
Borstal Boy,Behan Brendan
Oroonoko,Behn Aphra
Dangling Man,Bellow Saul
Herzog,Bellow Saul
Humboldt’s Gift,Bellow Saul
Henderson the Rain King,Bellow Saul
Seize the Day,Bellow Saul
The Adventures of Augie March,Bellow Saul
The Victim,Bellow Saul
The Old Wives’ Tale,Bennett Arnold
G,Berger John
Under Satan's Sun,Bernanos Georges
Correction,Bernhard Thomas
Extinction,Bernhard Thomas
Wittgenstein’s Nephew,Bernhard Thomas
Concrete,Bernhard Thomas
Old Masters,Bernhard Thomas
Yes,Bernhard Thomas
Captain Corelli’s Mandolin,Bernières Louis de
Señor Vivo and the Coca Lord,Bernières Louis de
Death Sentence,Blanchot Maurice
Savage Detectives,Bolano Roberto
Billiards at Half-Past Nine,Böll Heinrich
Group Portrait With Lady,Böll Heinrich
The Lost Honor of Katharina Blum,Böll Heinrich
The Safety Net,Böll Heinrich
Labyrinths,Borges Jorge Luis
Ficciones,Borges Jorge Luis
"This Way for the Gas, Ladies and Gentlemen",Borowski Tadeusz
Eva Trout,Bowen Elizabeth
The Heat of the Day,Bowen Elizabeth
To the North,Bowen Elizabeth
A World of Love,Bowen Elizabeth
The House in Paris,Bowen Elizabeth
The Last September,Bowen Elizabeth
World’s End,Boyle T. Coraghessan
Drop City,Boyle T. Coraghessan
In Watermelon Sugar,Brautigan Richard
Willard and His Bowling Trophies,Brautigan Richard
Threepenny Novel,Brecht Bertolt
Arcanum 17,Breton André
Nadja,Breton André
A Dry White Season,Brink Andre
Testament of Youth,Brittain Vera
The Death of Virgil,Broch Hermann
The Guiltless,Broch Hermann
